datetime,ntal_cf_duEW,ntal_cf_duNS,ntal_cf_duV,ntol_cf_duEW,ntol_cf_duNS,ntol_cf_duV,hydl_cf_duEW,hydl_cf_duNS,hydl_cf_duV,hydl_cf_dg
2021-03-07 18:00:00,-7.174419e-05,-0.00032833626,-0.00020135673,,,,,,,
2021-03-07 21:00:00,-8.545171e-05,-0.0003448729,-0.00014817959,,,,,,,
2021-03-08 00:00:00,-0.00010008805,-0.00037343358,-2.0467227e-05,,,,,,,
2021-03-08 03:00:00,-0.00012237315,-0.00039451555,0.000115916446,,,,,,,
2021-03-08 06:00:00,-0.00012799812,-0.00043197014,0.00023065518,,,,,,,
2021-03-08 09:00:00,-0.00013566598,-0.0004450813,0.0002738175,,,,,,,
2021-03-08 12:00:00,-0.00011202724,-0.00043727513,0.00028262704,0.00011008888,5.0779145e-05,-0.00024048332,0.0004251871,0.0004130621,-0.00086365856,1.2757583
2021-03-08 15:00:00,-8.645956e-05,-0.00043002513,0.00034095312,,,,,,,
2021-03-08 18:00:00,-5.9396465e-05,-0.0004359537,0.0003923205,,,,,,,
2021-03-08 21:00:00,-3.182334e-05,-0.00043636002,0.0004325975,,,,,,,
2021-03-09 00:00:00,-8.50052e-06,-0.00042766816,0.00047938852,,,,,,,
2021-03-09 03:00:00,1.0493933e-05,-0.00042405387,0.0005810674,,,,,,,
2021-03-09 06:00:00,3.076396e-05,-0.00042454567,0.00062240846,,,,,,,
2021-03-09 09:00:00,4.1917978e-05,-0.0004180535,0.0006460167,,,,,,,
2021-03-09 12:00:00,4.3191572e-05,-0.0004250777,0.000721238,0.00012682225,8.383333e-05,-0.00025948544,0.0004221582,0.00040940128,-0.0008382856,1.2741408
2021-03-09 15:00:00,3.4564575e-05,-0.00044057638,0.00085044414,,,,,,,
2021-03-09 18:00:00,2.7265207e-05,-0.0004653071,0.00089805893,,,,,,,
2021-03-09 21:00:00,2.9277373e-05,-0.00048796495,0.0009654439,,,,,,,
2021-03-10 00:00:00,3.296568e-05,-0.0005151308,0.0010224128,,,,,,,
2021-03-10 03:00:00,3.334887e-05,-0.0005461337,0.0011034515,,,,,,,
2021-03-10 06:00:00,3.085632e-05,-0.00058811804,0.0011693009,,,,,,,
2021-03-10 09:00:00,1.9327568e-05,-0.0006276472,0.0012684026,,,,,,,
2021-03-10 12:00:00,7.800667e-06,-0.0006586472,0.00141365,0.00014393068,0.000103042534,-0.00022180511,0.00043067662,0.00041763106,-0.00085145934,1.2853714
2021-03-10 15:00:00,-6.3794228e-06,-0.00069477817,0.0016238011,,,,,,,
2021-03-10 18:00:00,-2.0293524e-05,-0.0007141955,0.0017594096,,,,,,,
2021-03-10 21:00:00,-3.7714042e-05,-0.00073206663,0.0019420272,,,,,,,
2021-03-11 00:00:00,-6.358378e-05,-0.00075017504,0.0021149714,,,,,,,
2021-03-11 03:00:00,-9.861161e-05,-0.00075662305,0.0022277911,,,,,,,
2021-03-11 06:00:00,-0.00012715912,-0.0007614672,0.0022717724,,,,,,,
2021-03-11 09:00:00,-0.00014318532,-0.00078614557,0.0023225925,,,,,,,
2021-03-11 12:00:00,-0.00017351548,-0.00080948893,0.002401011,0.00013770815,0.000116757175,7.4242707e-06,0.0004383233,0.0004264681,-0.0008744468,1.2997923
2021-03-11 15:00:00,-0.00021182893,-0.00081819826,0.0024502766,,,,,,,
2021-03-11 18:00:00,-0.00023773291,-0.00081658544,0.0024537218,,,,,,,
2021-03-11 21:00:00,-0.0002508959,-0.0008130478,0.0024813537,,,,,,,
2021-03-12 00:00:00,-0.00027396594,-0.0008163001,0.0025261957,,,,,,,
